"verb","noun","plural","provenance","kind","obs"
"abaixar","abaixamento","abaixamentos",NA,NA,""
"abaixar","baixa","baixas","nomage: abaissement",NA,""
"abalroar","abalroação","abalroações","nomlex",NA,""
"abandonar","abandonador","abandonadores","","agent",""
"abandonar","abandono","abandonos","nomlex",NA,""
"abater","abatedor","abatedores",NA,"agent",""
"abater","abatedouro","abatedouros","nomlex",NA,""
"abduzir","abdutor","abdutores","framenet","agent",""
"abduzir","abdução","abduções","framenet",NA,""
"abençoar","benção","bençãos",NA,NA,""
"abjurar","abjuração","abjurações","nomage: abjuration",NA,""
"abolir","abolidor","abolidores",NA,"agent",""
"abolir","abolição","abolições","nomlex",NA,""
"abominar","abominador","abominadores","","agent",""
"abominar","abominação","abominações","framenet",NA,""
"abonar","abonado","abonados",NA,"agent",""
"abonar","abonação","abonações","nomlex",NA,""
"abonar","abonamento","abonamentos","nomlex",NA,""
"abordar","abordagem","abordagens","nomlex",NA,""
"abortar","aborto","abortos","nomage: avortement",NA,""
"abotoar","abotoadura",NA,"openWordnet-PT",NA,NA
"abreviar","abreviatura",NA,"openWordnet-PT",NA,NA
"abrir","abridor",NA,NA,"agent",""
"abrir","abertura","aberturas","nomlex","lex",""
"absolver","absolvedor",NA,NA,"agent",""
"absolver","absolvição","absolvições","nomlex",NA,""
"absorver","absorvedor",NA,NA,"agent",""
"absorver","absorção","absorções","nomlex","lex",""
"abstenir","abstenção","abstenções","nomlex",NA,""
"abster","abstinente","abstinentes","","agent",""
"abster","abstenção","abstenções","nomlex",NA,""
"abster","abstinência","abstinência","framenet",NA,""
"abstrair","abstração","abstrações","nomlex",NA,""
"acabar","acabamento","acabamentos","nomlex",NA,""
"acalmar","calmante",NA,NA,"agent",""
"acalmar","calma","calmas","enwiktionary:pt","lex",""
"acampar","acampamento","acampamentos","nomlex",NA,""
"acatar","acatamento","acatamentos","enwiktionary:en",NA,""
"aceitar","aceitador","aceitadores",NA,"agent",""
"aceitar","aceitação","aceitações","nomlex",NA,""
"aceitar","aceite","aceites","framenet",NA,""
"acelerar","acelerador","aceleradores","enwiktionary:pt","agent; lex",""
"acelerar","aceleração","acelerações","nomlex","lex",""
"acentuar","acentuação","acentuações","nomage: accentuation",NA,""
"acessar","acesso",NA,"dhbb",NA,NA
"aclimatar","aclimação","aclimações","enwiktionary:pt",NA,""
"aclimatar","aclimatação","aclimatações","enwiktionary:pt",NA,""
"acomodar","acomodação","acomodações","nomlex",NA,""
"acompanhar","acompanhante","acompanhantes",NA,"agent",""
"acompanhar","acompanhamento","acompanhamentos","nomlex",NA,""
"aconselhar","conselho",NA,"dhbb",NA,NA
"aconselhar","conselheiro",NA,"dhbb",NA,NA
"acontecer","acontecimento","acontecimentos","enwiktionary:pt",NA,""
"acoplar","acoplador","acopladores",NA,"agent",""
"acoplar","acoplamento","acoplamentos","nomage: accrochage",NA,""
"acordar","acordo","acordos","nomage: agrément",NA,""
"acossar","acossa","","nomlex",NA,""
"acossar","acossamento","acossamentos","nomlex",NA,""
"acrescentar","acréscimo","acréscimos","nomlex",NA,""
"acumular","acumulador",NA,NA,"agent",""
"acumular","acumulação","acumulações","nomlex",NA,""
"acusar","acusador","acusadores",NA,"agent",""
"acusar","acusação","acusações","nomlex",NA,""
"acusar","acusamento","acusamentos","nomlex",NA,""
"adaptar","adaptador","adaptadores","enwiktionary:pt","agent; lex",""
"adaptar","adaptação","adaptações","nomlex","lex",""
"adequar","adequabilidade","adequabilidades","framenet",NA,""
"aderir","adesivo","adesivos",NA,"agent",""
"aderir","aderência","aderências","nomlex",NA,""
"aderir","adesão","adesões","nomlex",NA,""
"adiar","adiamento","adiamentos","nomlex",NA,""
"adicionar","adicionador",NA,NA,"agent",""
"adicionar","adição","adições","nomlex",NA,""
"adjudicar","adjudicante",NA,NA,"agent",""
"adjudicar","adjudicação","adjudicações","nomlex",NA,""
"administrar","administrador","administradores","nomlex","agent",""
"administrar","administração","administrações","nomlex",NA,""
"admirar","admirador",NA,NA,"agent",""
"admirar","admiração","admirações","nomlex",NA,""
"admitir","admissão","admissões","nomlex",NA,""
"admoestar","admoestador",NA,NA,"agent",""
"admoestar","admonição","admonições","nomlex",NA,""
"adotar","adoção","adoções","nomlex",NA,""
"adquirir","aquisição","aquisições","nomlex",NA,""
"adular","adulador",NA,NA,"agent",""
"adular","adulação","adulações","nomlex",NA,""
"advertir","advertência","advertências","nomlex",NA,""
"advir","advento",NA,"dhbb",NA,NA
"advogar","advogado",NA,"dhbb",NA,NA
"advogar","advocacia",NA,"dhbb",NA,NA
"aerar","aerador",NA,NA,"agent",""
"aerar","aeração","aerações","nomlex",NA,""
"afastar","afastamento",NA,"dhbb",NA,NA
"afetar","afetação","afetações","nomage: affectation",NA,""
"afetar","efeito","efeitos","nomlex",NA,""
"afiliar","afiliado",NA,NA,"agent",""
"afiliar","afiliação","afiliações","nomlex",NA,""
"afirmar","afirmação","afirmações","nomlex",NA,""
"afogar","afogador",NA,NA,"agent",""
"afogar","afogamento","afogamentos","enwiktionary:pt",NA,""
"afrontar","afrontador",NA,NA,"agent",""
"afrontar","afronta","afrontas","nomage: affrontement",NA,""
"afrontar","afrontamento","afrontamentos","nomage: affrontement",NA,""
"agenciar","agenciador","agenciadores","nomlex","agent",""
"agenciar","agência",NA,"dhbb",NA,NA
"agir","agente",NA,"dhbb","agent",NA
"agir","ação",NA,"dhbb",NA,NA
"agitar","agitador",NA,NA,"agent",""
"agitar","agitação","agitações","nomlex",NA,""
"aglomerar","aglomerador","aglomeradores","","agent",""
"aglomerar","aglomeração","aglomerações","nomlex",NA,""
"aglomerar","aglomerado","aglomerados","enwiktionary:en",NA,""
"agradecer","agradecimento","agradecimentos","nomlex",NA,""
"agravar","agravante",NA,NA,"agent",""
"agravar","agravo","agravos","enwiktionary:en",NA,""
"agravar","agravação","agravações","nomage: aggravation",NA,""
"agravar","agravamento","agravamentos","nomage: aggravation",NA,""
"agredir","agressor",NA,NA,"agent",""
"agredir","agressão","agressões","nomlex",NA,""
"agrupar","grupo",NA,NA,"agent",""
"agrupar","grupamento","grupamentos","nomage: groupement",NA,""
"agrupar","agrupamento","agrupamentos",NA,NA,""
"ajudar","ajudante","ajudantes","framenet","agent",""
"ajudar","ajuda","ajudas","nomlex",NA,""
"ajustar","ajustador","ajustadores","","agent",""
"ajustar","ajustamento","ajustamentos","nomlex",NA,""
"ajustar","ajuste","ajustes","enwiktionary:en",NA,""
"alargar","alargamento","alargamentos","nomlex",NA,""
"alarmar","alarme","alarmes","enwiktionary:en",NA,""
"alcançar","alcance","alcances","nomlex",NA,""
"alegar","alegante",NA,NA,"agent",""
"alegar","alegação","alegações","nomlex",NA,""
"aliar","aliança","alianças","nomlex","other; lex",""
"aliciar","aliciamento","aliciamentos","nomage: toilettage",NA,""
"alienar","alienado",NA,NA,"agent",""
"alienar","alienação","alienações","nomlex",NA,""
"alimentar","alimentação","alimentações","nomage: alimentation",NA,""
"alinhar","alinhador",NA,NA,"agent",""
"alinhar","alinhamento","alinhamentos","nomlex",NA,""
"aliviar","alívio","alívios","nomage: allègement",NA,""
"alocar","alocação","alocações","nomlex",NA,""
"alojar","alojamento","alojamentos","nomage: logement",NA,""
